No,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,,,
,7/11/2021,,Pakistan,,1911562,22597,913873,,1911562,975092
,7/12/2021,,Pakistan,,1914090,22618,914605,,1914090,976867
,7/13/2021,,Pakistan,,1916832,22642,915343,,1916832,978847
,7/14/2021,,Pakistan,,1920454,22689,916373,,1920454,981392
,7/15/2021,,Pakistan,,1923768,22720,917329,,1923768,983719
,7/16/2021,,Pakistan,,1927757,22760,918329,,1927757,986668
,7/17/2021,,Pakistan,,1931219,22781,919163,,1931219,989275
,7/18/2021,,Pakistan,,1934604,22811,920066,,1934604,991727
,7/19/2021,,Pakistan,,1937815,22848,921095,,1937815,993872
,7/20/2021,,Pakistan,,1941373,22888,922034,,1941373,996451
,7/21/2021,,Pakistan,,1944466,22928,922929,,1944466,998609
,7/22/2021,,Pakistan,,1946445,22939,923472,,1946445,1000034
,7/23/2021,,Pakistan,,1946445,22939,923472,,1946445,1000034
