No,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,6/8/2021,,Pakistan,,936131,21453,869691
,6/9/2021,,Pakistan,,937434,21529,871669
,6/10/2021,,Pakistan,,938737,21576,873543
,6/11/2021,,Pakistan,,939931,21633,875581
,6/12/2021,,Pakistan,,941170,21689,877191
,6/13/2021,,Pakistan,,942189,21723,878740
,6/14/2021,,Pakistan,,943027,21782,880316
,6/15/2021,,Pakistan,,944065,21828,882332
,6/16/2021,,Pakistan,,945184,21874,887095
,6/17/2021,,Pakistan,,946227,21913,888505
,6/18/2021,,Pakistan,,947218,21940,889787
,6/19/2021,,Pakistan,,947218,21940,889787
,6/20/2021,,Pakistan,,949175,22007,893148
,6/21/2021,,Pakistan,,949838,22034,894352
,6/22/2021,,Pakistan,,950768,22073,895690
,6/23/2021,,Pakistan,,951865,22108,896821
,6/24/2021,,Pakistan,,952907,22152,897834
,6/25/2021,,Pakistan,,953842,22188,898944
,6/26/2021,,Pakistan,,954743,22211,900291
,6/27/2021,,Pakistan,,955657,22231,901201
,6/28/2021,,Pakistan,,956392,22254,901985
,6/29/2021,,Pakistan,,957371,22281,903484
,6/30/2021,,Pakistan,,958408,22321,904320
,7/1/2021,,Pakistan,,959685,22345,905430
,7/2/2021,,Pakistan,,961085,22379,906387
,7/3/2021,,Pakistan,,962313,22408,907284
,7/4/2021,,Pakistan,,963660,22427,907934
,7/5/2021,,Pakistan,,964490,22452,908648
,7/6/2021,,Pakistan,,966007,22469,909525
,7/7/2021,,Pakistan,,967633,22493,910609
,7/8/2021,,Pakistan,,969476,22520,911383
,7/9/2021,,Pakistan,,971304,22555,912295
,7/10/2021,,Pakistan,,973284,22582,913203
,7/11/2021,,Pakistan,,975092,22597,913873
,7/12/2021,,Pakistan,,976867,22618,914605
,7/13/2021,,Pakistan,,978847,22642,915343
,7/14/2021,,Pakistan,,981392,22689,916373
,7/15/2021,,Pakistan,,983719,22720,917329
,7/16/2021,,Pakistan,,986668,22760,918329
,7/17/2021,,Pakistan,,989275,22781,919163
,7/18/2021,,Pakistan,,991727,22811,920066
,7/19/2021,,Pakistan,,993872,22848,921095
,7/20/2021,,Pakistan,,996451,22888,922034
,7/21/2021,,Pakistan,,998609,22928,922929
,7/22/2021,,Pakistan,,1000034,22939,923472
,7/23/2021,,Pakistan,,1000034,22939,923472
